origin,destination,trip_count,shortest_path,origin_osm_node
6839.10,7617.07,25.0,"[4347534767, 5706568771, 8254176969, 42445950, 42445953, 42436511, 42445961, 42429971, 42431650, 42445972, 42445976, 42437425, 42431674, 42445994, 42429682, 42445227, 42436477, 42438791, 42439556, 42430052, 42446013, 42446016, 42436913, 42446021, 42438487, 42446026, 42439392, 42446031, 42435499, 42446036, 42429324, 42446041, 42445733, 42436539, 6949740442, 6949740430, 42444810, 42446066, 42446070, 42446072, 42444487, 42434166, 42446086, 42446093, 42446099, 42445256, 42438963, 42430474, 42434905, 42436610, 7921696721, 42446132, 6270715188, 42446138, 42445843, 42436640, 42446147, 42434377, 6217820602, 42432376, 42432352, 595703226, 42426374, 3099327964, 2141026499, 42433743]",4347534767
5065.10,5065.12,25.0,"[6262915548, 42444424, 42434418, 42434420, 42422053]",6262915548
5207.01,5207.01,25.0,[8866504932],8866504932
6876.04,6876.04,24.0,[42430394],42430394
7175.05,7175.05,24.0,[42443336],42443336
7453.01,7453.01,23.0,[42435316],42435316
7100.07,7323.09,23.0,"[42438788, 42436475, 42436477, 42438791, 42439556, 42430052, 42446013, 42446016, 42436913, 42446021, 42438487, 42446026, 42439392, 42446031, 42435499, 42446036, 42429324, 42446041, 42454189]",42438788
5905.14,5905.12,23.0,"[42436935, 42429373, 42439070, 42446521, 42428489, 5357086126, 42446528, 42436939, 42440721, 42428493]",42436935
5335.07,5303.08,23.0,"[42452107, 4375208206, 11038072433, 11038072506, 42427335, 11038072465, 11038072374, 11038072377, 8518556691, 42433553, 3234087898, 42433551, 42433550, 42433549, 42440785]",42452107
6839.10,6839.1,22.0,"[4347534767, 42427764]",4347534767
5184.08,6233.04,22.0,"[11374486384, 7334235841, 246866806, 246866810, 246866830, 246866828, 607906596, 246879394, 11310311811, 7779310094, 4133206254, 246648219, 42445766, 42449341, 42439286, 42429664, 42454381, 6401966213, 42427390, 42427393]",11374486384
5659.05,5659.11,22.0,"[42430914, 42430924, 42455007]",42430914
6839.10,6839.10,22.0,[4347534767],4347534767
6765.01,6765.01,21.0,[247084443],247084443
7253.04,7323.09,21.0,"[42435301, 42424225, 42427915, 42433564, 42435308, 42421800, 42424851, 7106818626, 1382339080, 42433927, 42435497, 42435499, 42446036, 42429324, 42446041, 42454189]",42435301
7141.07,7323.09,21.0,"[42435272, 42435275, 42432556, 42435283, 42435295, 42435301, 42424225, 42427915, 42433564, 42435308, 42421800, 42424851, 7106818626, 1382339080, 42433927, 42435497, 42435499, 42446036, 42429324, 42446041, 42454189]",42435272
5329.03,5184.08,21.0,"[246866828, 246866830, 246866810, 246866806, 7334235841, 11374486384]",246866828
6566.01,6566.01,21.0,[42447242],42447242
6884.03,6847.02,21.0,"[42431556, 42428328, 42431549, 42440020, 8993169377, 8993169376]",42431556
6599.01,6814.01,21.0,"[1241820975, 1241820956, 6647688976, 6647688988, 2141121124, 7247181415, 2141121132, 42426418, 3785702998, 5692100568, 8152930806, 3569402531, 4604406921]",1241820975
6847.02,6948.10,21.0,"[8993169376, 8993169377, 42428321, 4546109662, 42435710, 42431556, 42435714, 42435716, 42428332]",8993169376
5329.03,5329.03,21.0,[246866828],246866828
5436.11,5436.09,20.0,"[42449874, 42453613, 42437354]",42449874
5073.07,5145.02,20.0,"[42436181, 42446622, 42456888, 42434412, 42434413, 42436192, 42436187]",42436181
4645.04,4645.09,20.0,"[42519230, 42519232, 42512477, 42483487, 42475745, 42483476, 42483475, 42483473]",42519230
5578.02,5509.02,20.0,"[42436073, 42436017, 42436069, 42436064, 42440916]",42436073
6566.01,6599.01,20.0,"[42447242, 42427070, 42447412, 1241820953, 1241820975]",42447242
6912.01,7141.07,20.0,"[42423674, 4347550074, 11225191374, 4347550071, 4347550065, 9446375824, 42421969, 5706568625, 42435253, 42435257, 7802856365, 7802856352, 7802856370, 7802856341, 7802856349, 7802856372, 7802856356, 42435272]",42423674
6140.05,6306.06,20.0,"[42430265, 42439836, 5849918502, 42443674, 42443676, 42434285]",42430265
4953.04,4993.13,19.0,"[3239326412, 6129324450, 6129324449, 11030812457, 42421951]",3239326412
6233.04,5329.03,19.0,,42427393
6072.16,5997.10,19.0,"[42436431, 42431503, 42436427, 42436423, 42435578]",42436431
5703.13,5779.09,19.0,"[42446552, 42436944]",42446552
6765.01,5329.03,19.0,"[247084443, 247085080, 1760566988, 247081706, 247081711, 246650546, 2348991695, 247072735, 2208862794, 2376384482, 246580345, 8288270017, 246652738, 7779310094, 11310311811, 246879394, 607906596, 246866828]",247084443
6197.08,6197.08,19.0,[1729086998],1729086998
7323.09,7161.08,19.0,"[42843340, 42843342, 42843345, 42843348, 7726844882, 42826064, 5487911895, 5487911891, 42881454, 1048734622, 42807567, 42824096, 7710100133, 42825865, 42825868, 3569402143, 3569402133, 8133480845, 42815780, 42825874, 2302476358, 7746705680, 7987870306, 7746705681, 42825876, 8393785142, 42825879, 42825882, 42895308, 42895311, 42861200, 9971542829, 42808193, 42808195, 2355624814, 592643522, 11868048949, 593215662, 3785582164, 1775201764, 593300940, 42436527, 8638499088, 42436519, 42449982, 42429980, 42431656, 42449985, 5542680310, 42447235, 42437436, 42431680, 42449991, 42429690, 42445236, 42436486, 42436484, 42436481, 596776057, 42436477, 42438791, 42439556, 42430052, 42446013, 42446016, 42436913, 42446021, 42440397, 42436911]",42843340
6072.16,6072.06,19.0,"[11728146527, 42436431, 42431503, 42431500, 42431844, 42431497, 42429378]",11728146527
6765.01,6233.04,18.0,"[247084443, 247085080, 1760566988, 247081706, 247081711, 246650546, 2348991695, 247072735, 2208862794, 2376384482, 246580345, 8288270017, 246652738, 7779310094, 4133206254, 246648219, 42445766, 42449341, 42439286, 42429664, 42454381, 6401966213, 42427390, 42427393]",247084443
5329.03,6459.07,18.0,"[246866828, 607906596, 246879394, 11310311811, 7779310094, 246652738, 8288270017, 246580345, 2376384482, 2208862794, 247072735, 2348991695, 246650546, 246650510, 9423683546, 42430607, 9423683689, 8585752285]",246866828
5184.08,5001.08,18.0,"[11374486384, 246866798, 246866788, 246866793, 246901366, 42443666]",11374486384
5145.02,5073.07,18.0,"[42436187, 42436184, 42436181]",42436187
5065.12,5065.1,18.0,"[42429840, 42434420, 42422053, 9753289200, 6262915548]",42429840
6599.01,6566.01,18.0,"[1241820975, 8265113768, 2346815520, 6323387094, 6323387093, 5487036755, 7964276900, 42447242]",1241820975
6740.1,6779.04,18.0,"[42430361, 8318633108, 42440004, 42428310]",42430361
6157.04,5329.03,17.0,"[42454328, 42429431, 42431156, 593816275, 11310311808, 11310311811, 246879394, 607906596, 246866828]",42454328
7161.08,7161.08,17.0,[42436911],42436911
7323.09,7141.07,17.0,"[42843340, 42843342, 42843345, 42843348, 7726844882, 42826064, 5487911895, 5487911891, 42881454, 1048734622, 42807567, 42824096, 7710100133, 42825865, 42825868, 3569402143, 3569402133, 8133480845, 42815780, 42825874, 2302476358, 7746705680, 7987870306, 7746705681, 42825876, 8393785142, 42825879, 42825882, 42895308, 42895311, 42861200, 9971542829, 42808193, 42808195, 2355624814, 592643522, 11868048949, 593215662, 3785582164, 1775201764, 593300940, 42436527, 8638499088, 42436519, 42449982, 42429980, 42431656, 42449985, 5542680310, 42447235, 42447069, 42447230, 596775979, 42445976, 42447228, 42457788, 247223720, 7802856352, 7802856370, 7802856341, 7802856349, 7802856372, 7802856356, 42435272]",42843340
6551.11,6602.03,17.0,"[42445917, 42454428, 42437358, 42430333, 42428287, 42437363, 42439972, 42435660]",42445917
7253.04,7253.04,17.0,[42435301],42435301
5105.09,5105.01,17.0,"[42422050, 42454795, 42440335, 42440287, 1538237434, 42456492, 3658821414, 42443844, 1272562931, 5119807674, 11394594200, 11394594214, 7476968854, 588455743, 588455742, 42433537, 42433539, 42433542, 42433543, 42457821, 42433545, 5796726888, 42437967, 9505971541, 42437965, 42437962, 42432105, 42429762, 486868830, 42437108, 42432060, 7480301866, 5798966629, 42443513, 42453601, 42437339, 42455867, 42453166, 42444827, 42434205, 4012724171, 42449021, 42430903, 42454994, 42446547, 42436943, 42440743, 42431470, 42439323, 4298757018, 42446889, 4298757029, 42437289, 42455887, 42439181, 3601295731, 42451787, 387184869, 42448707, 42436598, 42455897, 42429918, 42454209, 42446293, 1632878994, 42436756, 42445417, 3871072002, 42453187, 6298391901, 42445390, 42434974, 42455915, 42422899, 42454010, 4917679392, 42445667, 42453011, 595105531, 595105538, 248708582, 595105472, 42455931, 42453000, 42444055, 42434092, 3569749128, 42455932, 595105496, 7641820936, 5852272391, 6133355290, 42455934, 42440469, 42452882, 42436714, 42455963, 42448390, 42443618, 2711029280, 42456041, 42448326, 6177439749, 593215662, 11868048949, 592643522, 663799618, 42920889, 42931320, 2468400257, 42825887, 2468400256, 7746742283, 42825882, 42825879, 42889760, 42906419, 42867040, 42867035, 42815764, 5487837572, 42867029, 42867027, 42824080, 7059887697, 7059887702, 42807554, 42867023, 42826930, 6866879186, 2459401771, 42826933, 42826940, 42826957]",42422050
5294.04,5374.01,17.0,"[42427742, 7499263656, 42445630, 4375208206, 11038072433, 11038072506, 42427335, 11038072504, 7499271059, 42440408, 42432094, 42432095, 42432097]",42427742
6904.06,7323.09,17.0,"[42429970, 42456683, 42445961, 42429971, 42431650, 42445972, 42445976, 42437425, 42431674, 42445994, 42429682, 42445227, 42436477, 42438791, 42439556, 42430052, 42446013, 42446016, 42436913, 42446021, 42438487, 42446026, 42439392, 42446031, 42435499, 42446036, 42429324, 42446041, 42454189]",42429970
5329.03,6039.06,17.0,"[246866828, 607906596, 246879394, 11310311811, 7779310094, 4133206254, 42454328, 42429431, 42431156, 10168276347, 42431154, 42455357, 42431508]",246866828
6131.12,6131.13,16.0,"[42429876, 4597668032, 42429888, 42454522, 4597668031]",42429876
6753.08,6822.09,16.0,"[42456049, 42429986, 42431661, 42455675, 42447237, 42437451, 42431684]",42456049
7617.07,7453.01,16.0,"[42433743, 5481882807, 7024230434, 4016646214, 42435736, 3247295579, 42452290, 42435346, 42435343, 42435341, 42432736, 42421728, 3602679383, 42435337, 42435336, 7801840675, 42435333, 42435331, 42425570, 7779666009, 7779666008, 42425232, 42424439, 42435328, 42435323, 42435319, 42435317, 42435316]",42433743
5329.03,6233.04,16.0,"[246866828, 607906596, 246879394, 11310311811, 7779310094, 4133206254, 246648219, 42445766, 42449341, 42439286, 42429664, 42454381, 6401966213, 42427390, 42427393]",246866828
5905.14,6072.06,16.0,"[42436935, 42429373, 42429374, 42429375, 42429378]",42436935
7323.09,7354.01,16.0,"[42454189, 42429314, 42449187, 42433927, 1382339080, 7106818626, 42424851]",42454189
6107.08,6030.06,16.0,"[42439275, 42439830, 42439826]",42439275
5779.11,5626.07,16.0,"[42436944, 42446552, 42454997, 42430914, 42449023, 42434148, 42434215]",42436944
6747.07,6747.07,16.0,[8704367789],8704367789
6876.04,7100.07,16.0,"[42430394, 4347534767, 5706568771, 8254176969, 42445950, 42445953, 42436511, 42445961, 42429971, 42431650, 42445972, 42445976, 42437425, 42431674, 42445994, 42429682, 42445227, 42436477, 42438791, 42438788]",42430394
6740.01,6771.13,16.0,"[42430363, 42430367]",42430363
5184.08,5184.08,16.0,[11374486384],11374486384
6140.05,6030.06,16.0,"[42430265, 42439836, 42427374, 42439834, 42429661, 42439275, 42439830, 42439826]",42430265
6839.10,7100.07,16.0,"[4347534767, 5706568771, 8254176969, 42445950, 42445953, 42436511, 42445961, 42429971, 42431650, 42445972, 42445976, 42437425, 42431674, 42445994, 42429682, 42445227, 42436477, 42438791, 42438788]",4347534767
5755.14,5905.14,16.0,"[42433356, 42456303, 42449045, 42430861, 42455026, 42446521, 42436935]",42433356
5752.07,5944.01,16.0,"[42520808, 42514451, 42493352, 42501785, 42506516, 5481915321, 42500685, 42516047, 42486597, 42520825, 2629142962, 42520827]",42520808
5902.07,6170.02,16.0,"[42535632, 277046418, 597261862, 42832453, 2799469684, 42844233, 42836093, 42826923, 6795905097]",42535632
6912.01,7617.07,16.0,"[42423674, 4347550074, 11225191374, 4347550071, 4347550065, 9446375824, 42421969, 5706568625, 42435253, 42435257, 7802856365, 7802856352, 7802856370, 7802856341, 7802856349, 7802856372, 7802856356, 42435272, 42435275, 42432556, 42435283, 42435295, 42435301, 42424225, 42427915, 42433564, 42435308, 42421800, 42424851, 7106818626, 7106818623, 7106818627, 42421993, 42431447, 42435316, 42435317, 42435319, 42435323, 42435328, 42424439, 42425232, 7779666008, 7779666009, 42425570, 42435331, 42435333, 7801840675, 42435336, 42435337, 3602679383, 42421728, 42432736, 42435341, 42435343, 42435346, 42424460, 4016646214, 7024230434, 5481882807, 42433743]",42423674
7323.09,7617.07,15.0,"[42454189, 42429314, 42429324, 42446041, 42445733, 42436539, 6949740442, 6949740430, 42444810, 42446066, 42446070, 42446072, 42444487, 42434166, 42446086, 42446093, 42446099, 42445256, 42438963, 42430474, 42434905, 42436610, 7921696721, 42446132, 6270715188, 42446138, 42445843, 42436640, 42446147, 42434377, 6217820602, 42432376, 42432352, 595703226, 42426374, 3099327964, 2141026499, 42433743]",42454189
6765.01,5184.08,15.0,"[247084443, 247085080, 1760566988, 247081706, 247081711, 246650546, 2348991695, 247072735, 2208862794, 2376384482, 246580345, 8288270017, 246652738, 7779310094, 11310311811, 246879394, 607906596, 246866828, 246866830, 246866810, 246866806, 7334235841, 11374486384]",247084443
6157.04,5184.08,15.0,"[42454328, 42429431, 42431156, 593816275, 11310311808, 11310311811, 246879394, 607906596, 246866828, 246866830, 246866810, 246866806, 7334235841, 11374486384]",42454328
5578.02,5509.02,15.0,"[42445171, 42436073, 42436017, 42436069, 42436064, 42440916]",42445171
6839.10,6912.01,15.0,"[4347534767, 42430394, 42423674]",4347534767
5303.06,5335.07,15.0,"[11038072541, 11038072505, 11038072465, 11038072507, 42452107]",11038072541
5001.08,5184.08,15.0,"[42443666, 42429521, 42433718, 9802614802, 9802614798, 246866788, 246866798, 11374486384]",42443666
6257.03,6266.06,15.0,"[42427426, 42437890, 42435624, 42437909, 42434279]",42427426
7253.04,7100.07,15.0,"[42435301, 42424225, 42427915, 3602649920, 42440397, 42436911, 42446455, 42454679, 42430050, 42439553, 42438788]",42435301
6233.04,6233.04,15.0,[42427393],42427393
5329.03,5847.01,15.0,"[246866828, 42431617, 42431614, 11515468991, 11515468989, 42445357, 42436322, 42430571, 42430529, 42429833, 42436326, 42436327, 5490721614, 42436330, 42436333, 42436335, 42436336, 42424610, 42436308, 42424408, 42436340, 11659009136, 42436014, 4142105822, 42424619, 42440847, 42436083, 42436088, 42436093, 42436097, 42436100, 42436109, 42436115, 42436119, 42436122, 42436126, 42436129]",246866828
5669.10,5626.13,15.0,"[42434142, 4012724171]",42434142
6517.08,6517.08,15.0,[42430333],42430333
6072.06,6072.06,15.0,"[42429388, 42432214, 6211332483, 8307463659, 42429390, 11728146527, 42436431, 42431503, 42431500, 42431844, 42431497, 42429378]",42429388
6822.09,7020.02,15.0,"[42431684, 42455695, 42429694, 42445247, 42436492, 10991141055, 42438805, 42439567, 42430075, 42454701, 42446478]",42431684
6140.05,6224.05,15.0,"[42430265, 42439836, 42427374, 42439834, 42435610, 42427381]",42430265
6197.08,6280.12,15.0,"[1729086998, 1729087000, 42442913, 5696984871, 42442910, 42442906, 42449926, 3789563970, 6371048752, 42446933, 42456568, 42449308]",1729086998
7253.04,7253.04,15.0,[42435301],42435301
4645.09,4645.04,15.0,"[42483473, 42476720, 42476721, 42485640, 42519223, 42519230]",42483473
6173.08,6173.08,15.0,[42428212],42428212
